
1, 16, 20, 3
2, 20, 21, 1
3, 20, 23, 1
4, 21, 22, 1
5, 22, 11, 1
6, 23, 24, 2
7, 24, 25, 3
8, 25, 15, 1
9, 21, 26, 2
10, 26, 27, 1
11, 27, 28, 1
12, 27, 1, 1
13, 28, 1, 1
14, 27, 29, 1
15, 29, 30, 1
16, 27, 35, 7
17, 35, 36, 1
18, 36, 37, 1
19, 37, 38, 1
20, 37, 39, 1
21, 38, 6, 1
22, 39, 6, 1
23, 35, 34, 1
24, 34, 31, 1
25, 34, 32, 1
26, 32, 33, 1
27, 32, 5, 1
28, 33, 5, 1
29, 22, 12, 1
30, 31, 13, 4
31, 35, 40, 3
32, 40, 41, 1
33, 41, 18, 20
34, 41, 42, 1
35, 42, 43, 1
36, 42, 17, 15
37, 43, 44, 1
38, 44, 9, 1
39, 44, 7, 1
40, 7, 45, 1
41, 45, 46, 1
42, 46, 47, 1
43, 47, 48, 1
44, 9, 10, 1
45, 15, 14, 1
46, 7, 8, 1
47, 2, 30, 1
48, 3, 45, 1
49, 3, 46, 1
50, 3, 48, 1
51, 47, 4, 3
52, 18, 19, 1
